V1_0 (ЦС) = 1.2124
V2_0 (ЦС) = 12.1244

  θ(°)     V1x_ЦС     V1y_ЦС     V2x_ЦС     V2y_ЦС      V1_ЛС      θ1(°)      V2_ЛС      θ2(°)
    80     0.2105     1.1940    -2.1054   -11.9402     7.3087     9.4025    12.9044   -67.7098
    81     0.1897     1.1975    -1.8967   -11.9751     7.2887     9.4564    13.0172   -66.9181
    82     0.1687     1.2006    -1.6874   -12.0064     7.2686     9.5078    13.1292   -66.1314
    83     0.1478     1.2034    -1.4776   -12.0340     7.2484     9.5567    13.2406   -65.3495
    84     0.1267     1.2058    -1.2673   -12.0579     7.2280     9.6031    13.3513   -64.5724
    85     0.1057     1.2078    -1.0567   -12.0782     7.2076     9.6469    13.4613   -63.7997
    86     0.0846     1.2095    -0.8458   -12.0948     7.1871     9.6882    13.5705   -63.0315
    87     0.0635     1.2108    -0.6345   -12.1077     7.1665     9.7268    13.6791   -62.2675
    88     0.0423     1.2117    -0.4231   -12.1170     7.1458     9.7627    13.7868   -61.5077
    89     0.0212     1.2123    -0.2116   -12.1225     7.1250     9.7959    13.8938   -60.7519
    90     0.0000     1.2124    -0.0000   -12.1244     7.1042     9.8264    14.0000   -60.0000
    91    -0.0212     1.2123     0.2116   -12.1225     7.0833     9.8542    14.1054   -59.2519
    92    -0.0423     1.2117     0.4231   -12.1170     7.0624     9.8791    14.2100   -58.5074
    93    -0.0635     1.2108     0.6345   -12.1077     7.0414     9.9012    14.3138   -57.7665
    94    -0.0846     1.2095     0.8458   -12.0948     7.0204     9.9205    14.4167   -57.0291
    95    -0.1057     1.2078     1.0567   -12.0782     6.9993     9.9368    14.5187   -56.2950
    96    -0.1267     1.2058     1.2673   -12.0579     6.9782     9.9503    14.6199   -55.5641
    97    -0.1478     1.2034     1.4776   -12.0340     6.9571     9.9608    14.7203   -54.8364
    98    -0.1687     1.2006     1.6874   -12.0064     6.9360     9.9683    14.8197   -54.1118
    99    -0.1897     1.1975     1.8967   -11.9751     6.9148     9.9728    14.9182   -53.3902
   100    -0.2105     1.1940     2.1054   -11.9402     6.8937     9.9742    15.0158   -52.6714
   101    -0.2313     1.1902     2.3134   -11.9016     6.8725     9.9726    15.1125   -51.9555
   102    -0.2521     1.1859     2.5208   -11.8594     6.8513     9.9679    15.2083   -51.2423
   103    -0.2727     1.1814     2.7274   -11.8136     6.8302     9.9600    15.3031   -50.5318
   104    -0.2933     1.1764     2.9331   -11.7642     6.8091     9.9490    15.3969   -49.8238
   105    -0.3138     1.1711     3.1380   -11.7112     6.7880     9.9349    15.4897   -49.1184
   106    -0.3342     1.1655     3.3419   -11.6547     6.7669     9.9175    15.5816   -48.4154
   107    -0.3545     1.1595     3.5448   -11.5946     6.7459     9.8969    15.6725   -47.7147
   108    -0.3747     1.1531     3.7466   -11.5309     6.7249     9.8730    15.7624   -47.0164
   109    -0.3947     1.1464     3.9473   -11.4638     6.7040     9.8459    15.8513   -46.3202
   110    -0.4147     1.1393     4.1468   -11.3932     6.6832     9.8155    15.9391   -45.6263
   111    -0.4345     1.1319     4.3450   -11.3191     6.6624     9.7818    16.0259   -44.9345
   112    -0.4542     1.1242     4.5419   -11.2415     6.6416     9.7447    16.1117   -44.2447
   113    -0.4737     1.1161     4.7374   -11.1605     6.6210     9.7042    16.1964   -43.5569
   114    -0.4931     1.1076     4.9314   -11.0762     6.6005     9.6604    16.2800   -42.8711
   115    -0.5124     1.0988     5.1240   -10.9884     6.5800     9.6133    16.3626   -42.1872
   116    -0.5315     1.0897     5.3150   -10.8973     6.5597     9.5627    16.4441   -41.5051
   117    -0.5504     1.0803     5.5043   -10.8029     6.5394     9.5086    16.5246   -40.8247
   118    -0.5692     1.0705     5.6920   -10.7052     6.5193     9.4512    16.6039   -40.1461
   119    -0.5878     1.0604     5.8780   -10.6042     6.4993     9.3903    16.6821   -39.4692
   120    -0.6062     1.0500     6.0622   -10.5000     6.4794     9.3260    16.7592   -38.7940
   121    -0.6245     1.0393     6.2445   -10.3926     6.4597     9.2582    16.8352   -38.1203
   122    -0.6425     1.0282     6.4249   -10.2820     6.4401     9.1869    16.9100   -37.4482
   123    -0.6603     1.0168     6.6034   -10.1683     6.4207     9.1122    16.9837   -36.7776
   124    -0.6780     1.0052     6.7799   -10.0515     6.4014     9.0340    17.0563   -36.1084
   125    -0.6954     0.9932     6.9542    -9.9317     6.3823     8.9523    17.1277   -35.4407
   126    -0.7127     0.9809     7.1265    -9.8088     6.3634     8.8672    17.1980   -34.7744
   127    -0.7297     0.9683     7.2966    -9.6829     6.3447     8.7785    17.2671   -34.1093
   128    -0.7464     0.9554     7.4645    -9.5541     6.3261     8.6864    17.3350   -33.4456
   129    -0.7630     0.9422     7.6301    -9.4224     6.3078     8.5909    17.4018   -32.7832
   130    -0.7793     0.9288     7.7934    -9.2878     6.2896     8.4919    17.4673   -32.1220
   131    -0.7954     0.9150     7.9543    -9.1504     6.2717     8.3894    17.5317   -31.4620
   132    -0.8113     0.9010     8.1128    -9.0102     6.2540     8.2835    17.5949   -30.8032
   133    -0.8269     0.8867     8.2688    -8.8672     6.2365     8.1742    17.6568   -30.1454
   134    -0.8422     0.8722     8.4223    -8.7215     6.2192     8.0614    17.7176   -29.4888
   135    -0.8573     0.8573     8.5732    -8.5732     6.2022     7.9453    17.7771   -28.8332
   136    -0.8722     0.8422     8.7215    -8.4223     6.1855     7.8259    17.8354   -28.1787
   137    -0.8867     0.8269     8.8672    -8.2688     6.1689     7.7030    17.8925   -27.5251
   138    -0.9010     0.8113     9.0102    -8.1128     6.1527     7.5769    17.9483   -26.8726
   139    -0.9150     0.7954     9.1504    -7.9543     6.1367     7.4475    18.0029   -26.2209
   140    -0.9288     0.7793     9.2878    -7.7934     6.1210     7.3148    18.0563   -25.5702
   141    -0.9422     0.7630     9.4224    -7.6301     6.1056     7.1789    18.1084   -24.9203
   142    -0.9554     0.7464     9.5541    -7.4645     6.0905     7.0398    18.1592   -24.2713
   143    -0.9683     0.7297     9.6829    -7.2966     6.0757     6.8976    18.2088   -23.6231
   144    -0.9809     0.7127     9.8088    -7.1265     6.0612     6.7523    18.2571   -22.9757
   145    -0.9932     0.6954     9.9317    -6.9542     6.0470     6.6039    18.3042   -22.3291
   146    -1.0052     0.6780    10.0515    -6.7799     6.0331     6.4524    18.3500   -21.6832
   147    -1.0168     0.6603    10.1683    -6.6034     6.0195     6.2980    18.3945   -21.0381
   148    -1.0282     0.6425    10.2820    -6.4249     6.0063     6.1407    18.4377   -20.3936
   149    -1.0393     0.6245    10.3926    -6.2445     5.9934     5.9805    18.4796   -19.7498
   150    -1.0500     0.6062    10.5000    -6.0622     5.9808     5.8175    18.5203   -19.1066
   151    -1.0604     0.5878    10.6042    -5.8780     5.9686     5.6518    18.5596   -18.4641
   152    -1.0705     0.5692    10.7052    -5.6920     5.9567     5.4833    18.5976   -17.8221
   153    -1.0803     0.5504    10.8029    -5.5043     5.9452     5.3123    18.6344   -17.1807
   154    -1.0897     0.5315    10.8973    -5.3150     5.9341     5.1387    18.6698   -16.5399
   155    -1.0988     0.5124    10.9884    -5.1240     5.9234     4.9625    18.7039   -15.8995
   156    -1.1076     0.4931    11.0762    -4.9314     5.9130     4.7840    18.7368   -15.2597
   157    -1.1161     0.4737    11.1605    -4.7374     5.9030     4.6031    18.7683   -14.6204
   158    -1.1242     0.4542    11.2415    -4.5419     5.8934     4.4200    18.7984   -13.9815
   159    -1.1319     0.4345    11.3191    -4.3450     5.8842     4.2347    18.8273   -13.3431
   160    -1.1393     0.4147    11.3932    -4.1468     5.8753     4.0473    18.8548   -12.7050
   161    -1.1464     0.3947    11.4638    -3.9473     5.8669     3.8578    18.8810   -12.0674
   162    -1.1531     0.3747    11.5309    -3.7466     5.8589     3.6664    18.9059   -11.4301
   163    -1.1595     0.3545    11.5946    -3.5448     5.8513     3.4732    18.9295   -10.7932
   164    -1.1655     0.3342    11.6547    -3.3419     5.8441     3.2782    18.9517   -10.1566
   165    -1.1711     0.3138    11.7112    -3.1380     5.8373     3.0816    18.9725    -9.5203
   166    -1.1764     0.2933    11.7642    -2.9331     5.8310     2.8834    18.9921    -8.8844
   167    -1.1814     0.2727    11.8136    -2.7274     5.8250     2.6837    19.0103    -8.2486
   168    -1.1859     0.2521    11.8594    -2.5208     5.8195     2.4826    19.0271    -7.6132
   169    -1.1902     0.2313    11.9016    -2.3134     5.8144     2.2803    19.0426    -6.9779
   170    -1.1940     0.2105    11.9402    -2.1054     5.8098     2.0768    19.0568    -6.3429
   171    -1.1975     0.1897    11.9751    -1.8967     5.8056     1.8722    19.0696    -5.7081
   172    -1.2006     0.1687    12.0064    -1.6874     5.8018     1.6666    19.0811    -5.0734
   173    -1.2034     0.1478    12.0340    -1.4776     5.7985     1.4602    19.0912    -4.4389
   174    -1.2058     0.1267    12.0579    -1.2673     5.7956     1.2530    19.1000    -3.8045
   175    -1.2078     0.1057    12.0782    -1.0567     5.7931     1.0452    19.1075    -3.1703
   176    -1.2095     0.0846    12.0948    -0.8458     5.7911     0.8368    19.1135    -2.5361
   177    -1.2108     0.0635    12.1077    -0.6345     5.7896     0.6280    19.1183    -1.9020
   178    -1.2117     0.0423    12.1170    -0.4231     5.7885     0.4188    19.1217    -1.2680
   179    -1.2123     0.0212    12.1225    -0.2116     5.7878     0.2095    19.1237    -0.6340
   180    -1.2124     0.0000    12.1244    -0.0000     5.7876     0.0000    19.1244    -0.0000
